Date,Time,Open,High,Low,Close,Volume
2024.11.15,5:00,2570.18,2571.1,2567.62,2567.74,3498
2024.11.15,4:00,2565,2571.08,2564.87,2570.19,4692
2024.11.15,3:00,2566.84,2571.71,2563.1,2564.95,5260
2024.11.15,2:00,2566.87,2567.62,2565.91,2566.85,2661
2024.11.15,1:00,2565.12,2567.2,2564.78,2566.88,1743
2024.11.14,23:00,2567.34,2569.51,2564.1,2564.53,2229
2024.11.14,22:00,2575.94,2576.58,2563.9,2567.16,5730
2024.11.14,21:00,2569.88,2576.86,2569.85,2575.98,4011
2024.11.14,20:00,2573.1,2573.43,2567.16,2569.9,4650
2024.11.14,19:00,2574.01,2575.86,2567.54,2572.93,5197
2024.11.14,18:00,2570.35,2577.42,2569.21,2573.96,5494
2024.11.14,17:00,2559.52,2572.89,2558.65,2570.27,6220
2024.11.14,16:00,2557.13,2565.93,2554.34,2559.63,6231
2024.11.14,15:00,2552.2,2560.27,2551.27,2557.18,6208
2024.11.14,14:00,2553.68,2556.88,2550.08,2552.16,4950
2024.11.14,13:00,2547.09,2555.04,2545.15,2553.63,5229
2024.11.14,12:00,2543.53,2547.99,2539.02,2546.99,4855
2024.11.14,11:00,2556.31,2558.32,2536.77,2543.51,5394
2024.11.14,10:00,2556.92,2559.68,2554.48,2556.13,5027
2024.11.14,9:00,2555.07,2558.87,2550.15,2556.75,4934
2024.11.14,8:00,2558.71,2560.5,2551.94,2555.07,5133
2024.11.14,7:00,2565.17,2565.2,2555.33,2558.64,4646
2024.11.14,6:00,2560.68,2565.3,2559.27,2565.17,3157
2024.11.14,5:00,2560.59,2565.08,2559.98,2560.72,3957
2024.11.14,4:00,2562.48,2564.63,2558.95,2560.68,5009
2024.11.14,3:00,2572.5,2572.83,2561.55,2562.56,5587
2024.11.14,2:00,2570.98,2574.71,2569.6,2572.48,2833
2024.11.14,1:00,2574.82,2581.29,2568.87,2570.93,2981
2024.11.13,23:00,2573.64,2577.06,2572.65,2572.7,1748
2024.11.13,22:00,2580.97,2581.14,2572.97,2573.73,4077
2024.11.13,21:00,2582.75,2584.78,2580.59,2580.98,3911
2024.11.13,20:00,2583.29,2585.42,2579.56,2582.75,4654
2024.11.13,19:00,2585.73,2586.75,2577.56,2583.32,5723
2024.11.13,18:00,2605.29,2605.95,2584.74,2585.82,5814
2024.11.13,17:00,2602.16,2606.89,2593.63,2605.37,6454
2024.11.13,16:00,2612.21,2616.36,2601.2,2602.29,6404
2024.11.13,15:00,2609.65,2618.81,2607.13,2612.31,6122
2024.11.13,14:00,2610.83,2612.71,2608.93,2609.65,4262
2024.11.13,13:00,2609.07,2611.6,2605.85,2610.82,3827
2024.11.13,12:00,2608.6,2610.44,2606.93,2609.06,3785
2024.11.13,11:00,2607.65,2611.6,2607.39,2608.65,4275
2024.11.13,10:00,2605.99,2610.66,2601.06,2607.62,4730
2024.11.13,9:00,2605.34,2607.41,2604.3,2606.24,3669
2024.11.13,8:00,2605.79,2607.44,2604.22,2605.33,4242
2024.11.13,7:00,2606.33,2607.92,2603.6,2605.79,3784
2024.11.13,6:00,2611.6,2612.42,2606.11,2606.24,2956
2024.11.13,5:00,2612.14,2613.34,2606.36,2611.61,3833
2024.11.13,4:00,2608.25,2612.6,2605.17,2612.13,4457
2024.11.13,3:00,2599.45,2611.19,2599.45,2607.98,5294
2024.11.13,2:00,2598.97,2599.9,2598.04,2599.42,2191
2024.11.13,1:00,2598.53,2599.82,2597.57,2598.97,1277
2024.11.12,23:00,2599.96,2600.69,2597.2,2597.98,1531
2024.11.12,22:00,2598.05,2601.35,2595.09,2599.61,3531
2024.11.12,21:00,2599.27,2601.29,2597.9,2598.12,3682
2024.11.12,20:00,2597.54,2602.05,2596.4,2599.26,4518
2024.11.12,19:00,2600.76,2601.1,2592.46,2597.46,5073
2024.11.12,18:00,2598.46,2604.18,2597.77,2600.74,5467
2024.11.12,17:00,2610.36,2611.73,2597.41,2598.41,5962
2024.11.12,16:00,2611.62,2616.96,2609.02,2610.37,6033
2024.11.12,15:00,2605.24,2616.37,2604.47,2611.58,5909
2024.11.12,14:00,2597.84,2607.09,2597.84,2605.26,5287
2024.11.12,13:00,2596.7,2599.13,2592.44,2597.83,4772
2024.11.12,12:00,2593.28,2598.63,2589.81,2596.69,4658
2024.11.12,11:00,2600.39,2600.75,2590.87,2593.31,4957
2024.11.12,10:00,2598.51,2606.49,2598.01,2600.64,5070
2024.11.12,9:00,2607.91,2609.05,2595.14,2598.06,4983
2024.11.12,8:00,2606.84,2610.14,2603.47,2607.94,5241
2024.11.12,7:00,2617.9,2618.13,2605.4,2606.89,4665
2024.11.12,6:00,2618.83,2619.08,2615.57,2617.76,3222
2024.11.12,5:00,2622.01,2623.79,2618.75,2618.93,3562
2024.11.12,4:00,2623.97,2625.43,2620.47,2622.04,4650
2024.11.12,3:00,2623.99,2627.13,2619.2,2624.05,5110
2024.11.12,2:00,2624.02,2625.08,2622.25,2624.02,2547
2024.11.12,1:00,2619.5,2624.09,2619.29,2624.01,1329
2024.11.11,23:00,2621.96,2623.04,2619.17,2619.3,1296
2024.11.11,22:00,2619.25,2626.17,2619.25,2621.96,3185
