datetime,Open,High,Low,Close,Volume,EMA25,EMA50,EMA100,MACD,MACD_Signal,MACD_Hist,K,D,J,BB_Mid,BB_Upper,BB_Lower,ATR,Ichimoku_Conversion,Ichimoku_Base,Ichimoku_Leading_A,Ichimoku_Leading_B,SAR
2024-01-08 11:00:00,1.09338,1.09425,1.09225,1.0937,8819,1.0939895,1.0941545,1.0954138,-1.7860879e-05,4.9328137e-05,-6.7189016e-05,41.361233,38.950493,46.182716,1.0944746,1.0965211,1.0924278,0.0010721429,1.093775,1.093785,1.09378,1.093785,1.0997412
2024-01-08 12:00:00,1.09374,1.09436,1.09342,1.09425,7703,1.0940095,1.0941583,1.0953907,5.6885947e-06,4.060023e-05,-3.4911634e-05,49.945522,42.6155,64.60556,1.0944395,1.0964757,1.0924032,0.0010535715,1.09374,1.093785,1.0937625,1.093785,1.0994415
2024-01-08 13:00:00,1.09425,1.09508,1.09368,1.0938,7859,1.0939934,1.0941442,1.0953592,-1.18232265e-05,3.0115536e-05,-4.1938765e-05,50.634823,45.28861,61.327248,1.094238,1.0955192,1.0929568,0.001115,1.09374,1.093785,1.0937625,1.093785,1.0991539
2024-01-08 14:00:00,1.0938,1.09484,1.09372,1.09449,9422,1.0940316,1.0941578,1.095342,2.9634159e-05,3.001926e-05,-3.8510294e-07,58.812477,49.796566,76.8443,1.094182,1.0952979,1.0930661,0.0011042857,1.09374,1.093785,1.0937625,1.093785,1.0988778
2024-01-08 15:00:00,1.09449,1.09564,1.09425,1.09508,14604,1.0941123,1.0941939,1.0953368,0.00010884283,4.5783974e-05,6.3058855e-05,67.03526,55.542797,90.02019,1.094205,1.0953765,1.0930334,0.0011207142,1.093945,1.093785,1.093865,1.093785,1.0986127
2024-01-08 16:00:00,1.09508,1.09628,1.09492,1.09601,18929,1.0942582,1.0942651,1.0953501,0.00024384857,8.5396896e-05,0.00015845167,75.79025,62.29195,102.786865,1.0942355,1.0955598,1.0929111,0.0011507142,1.094265,1.093785,1.094025,1.093785,1.0983582
2024-01-08 17:00:00,1.09601,1.09748,1.09552,1.09697,16412,1.0944668,1.0943712,1.0953822,0.0004234246,0.00015300243,0.00027042217,80.609695,68.397865,105.03335,1.094358,1.0961602,1.0925559,0.0012464286,1.094865,1.09602,1.0954425,1.093785,1.0981138
2024-01-08 18:00:00,1.09698,1.09789,1.09681,1.09754,13830,1.0947032,1.0944955,1.095425,0.0006047628,0.0002433545,0.00036140828,85.00457,73.93343,107.14684,1.0945385,1.0968196,1.0922574,0.0012378572,1.09507,1.096065,1.0955675,1.093785,1.09225
2024-01-08 19:00:00,1.09754,1.09788,1.09622,1.09646,10457,1.0948384,1.0945725,1.0954454,0.0006537911,0.00032544183,0.0003283493,81.55151,76.47279,91.70895,1.0946575,1.0970818,1.0922332,0.0012971428,1.09507,1.095165,1.0951174,1.093785,1.0923628
2024-01-08 20:00:00,1.09646,1.09659,1.09487,1.09554,8203,1.0948924,1.0946105,1.0954473,0.00061136275,0.00038262602,0.00022873674,70.17677,74.374115,61.782078,1.094712,1.0971655,1.0922586,0.00137,1.095655,1.09507,1.0953625,1.093785,1.0924734
